m,r,d,seed,n_recover,n_lib,dt,tot_iters
10,2,4,7,512,1001,137.18800163269043,2625
10,2,4,8,551,1001,125.13556551933289,2025
10,2,4,9,540,1001,126.75382208824158,2225
5,3,2,0,20,21,0.21065258979797363,950
5,3,2,1,20,21,0.1565864086151123,1275
5,3,2,2,21,21,0.22929716110229492,1050
5,3,2,3,21,21,0.4021289348602295,4250
5,3,2,4,21,21,0.20583605766296387,1625
5,3,2,5,19,21,0.38350892066955566,3775
5,3,2,6,21,21,0.22734999656677246,1600
5,3,2,7,21,21,0.2083892822265625,1950
5,3,2,8,19,21,0.4333484172821045,1425
5,3,2,9,20,21,0.12195014953613281,1450
10,3,2,0,60,66,2.5111019611358643,10075
10,3,2,1,56,66,1.1454417705535889,3900
10,3,2,2,46,66,1.458425760269165,4250
10,3,2,3,57,66,2.622936964035034,8950
10,3,2,4,51,66,1.6880519390106201,8800
10,3,2,5,57,66,2.5697214603424072,10450
10,3,2,6,45,66,2.601322889328003,10425
10,3,2,7,54,66,2.2867789268493652,8600
10,3,2,8,48,66,1.4002280235290527,5125
10,3,2,9,50,66,2.060032367706299,7825
15,3,2,0,93,136,11.750180959701538,14125
15,3,2,1,103,136,12.406651496887207,15325
15,3,2,2,86,136,11.674951553344727,14025
15,3,2,3,83,136,11.369888305664062,13225
15,3,2,4,103,136,15.937897682189941,19750
15,3,2,5,89,136,7.368412256240845,8075
15,3,2,6,80,136,10.387633085250854,12325
15,3,2,7,82,136,7.958189249038696,8825
15,3,2,8,86,136,13.87169599533081,17750
15,3,2,9,85,136,11.678137063980103,14275
20,3,2,0,128,231,19.452070236206055,15900
20,3,2,1,124,231,12.933373928070068,8975
20,3,2,2,137,231,16.99492597579956,13500
20,3,2,3,140,231,23.843463897705078,17800
20,3,2,4,124,231,16.781246662139893,13200
20,3,2,5,133,231,18.950252056121826,14550
20,3,2,6,125,231,19.29194951057434,14175
20,3,2,7,135,231,20.721545219421387,15275
20,3,2,8,177,231,15.794058084487915,11275
20,3,2,9,131,231,15.582440376281738,11675
25,3,2,0,208,351,39.391751766204834,18325
25,3,2,1,167,351,31.28717279434204,15100
25,3,2,2,219,351,36.342853307724,18950
25,3,2,3,184,351,33.87276840209961,16200
25,3,2,4,188,351,33.06455612182617,15850
25,3,2,5,178,351,26.062801361083984,13125
25,3,2,6,211,351,36.06999349594116,17800
25,3,2,7,166,351,35.713080167770386,18700
25,3,2,8,209,351,35.7220139503479,18300
25,3,2,9,169,351,45.552011013031006,22450
30,3,2,0,255,496,42.29486274719238,12600
30,3,2,1,230,496,61.097131967544556,17100
30,3,2,2,273,496,42.404784202575684,12275
30,3,2,3,226,496,75.24779200553894,21750
30,3,2,4,218,496,68.33437442779541,21275
30,3,2,5,212,496,58.86734342575073,20225
30,3,2,6,246,496,72.28344988822937,21800
30,3,2,7,225,496,63.03823661804199,18925
30,3,2,8,251,496,43.84041213989258,11825
30,3,2,9,221,496,55.24386167526245,17100
35,3,2,0,313,666,100.16392707824707,22650
35,3,2,1,283,666,80.94961404800415,17900
35,3,2,2,307,666,97.3626868724823,21100
35,3,2,3,288,666,115.08822512626648,22525
35,3,2,4,281,666,102.03880786895752,22975
35,3,2,5,311,666,105.18588972091675,20650
35,3,2,6,289,666,100.59949803352356,22425
35,3,2,7,299,666,100.67602562904358,19175
35,3,2,8,294,666,104.87984776496887,19175
